QN_no6s_stamen_number,QN_mean_stamen_number,no6s_stamen_number,mean_stamen_number,id,QTL1,QTL3,QTL4,QTL5
,1.136447727,,6,464,b,b,a,b
1.450542787,0.49966967,5.933333333,5.933333333,465,a,b,a,a
0.884755232,0.268308923,5.888888889,5.888888889,466,b,b,b,b
1.905608404,0.597760126,5.944444444,5.944444444,468,b,b,b,
,1.136447727,,6,469,b,b,a,b
,,,,470,a,b,a,b
,,,,471,a,b,b,b
-0.958860818,-1.145690884,5.333333333,5.333333333,472,b,a,a,a
-0.618747862,-0.841621234,5.5,5.5,473,a,a,b,
0.666401288,0.145120941,5.866666667,5.866666667,474,a,b,b,b
-0.352815445,-0.612231482,5.611111111,5.611111111,475,a,a,a,a
,1.136447727,,6,476,a,b,b,a
-1.518589009,-1.663792786,5.033333333,5.033333333,477,b,a,a,a
,1.136447727,,6,478,b,b,a,b
-0.557304228,-0.787876017,5.533333333,5.533333333,479,a,a,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,481,a,b,a,a
-1.027630415,-1.208322917,5.319444444,5.319444444,484,b,a,a,a
0.884755232,0.268308923,5.888888889,5.888888889,485,a,b,a,b
,1.136447727,,6,486,b,a,a,b
,,,,488,b,b,b,b
-1.886123231,-2.011897251,4.833333333,4.833333333,489,a,a,a,a
-0.234711077,-0.513370313,5.666666667,5.666666667,490,a,b,a,a
-0.797332876,-1.000005818,5.416666667,5.416666667,492,a,a,a,a
1.156632152,0.395725296,5.916666667,5.916666667,494,b,a,b,b
-0.084083943,-0.390517596,5.722222222,5.722222222,495,a,b,a,a
-0.003230197,-0.326255876,5.733333333,5.733333333,496,b,a,a,a
-1.606120563,-1.74624015,4.944444444,4.944444444,499,b,a,a,a
,,,,501,a,a,a,a
-0.084083943,-0.390517596,5.722222222,5.722222222,503,a,b,a,b
0.195041033,-0.174416101,5.791666667,5.791666667,504,b,b,b,a
0.433091285,-0.004820458,5.833333333,5.833333333,506,a,a,,a
-0.084083943,-0.390517596,5.722222222,5.722222222,507,a,a,b,a
0.666401288,0.145120941,5.866666667,5.866666667,508,,,a,b
,,,,509,a,b,b,a
-0.837944534,-1.036433389,5.4,5.4,510,a,a,a,b
-0.084083943,-0.390517596,5.722222222,5.722222222,512,a,b,b,b
,1.136447727,,6,513,b,a,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,514,a,a,a,a
0.666401288,0.145120941,5.866666667,5.866666667,515,b,b,a,a
,1.136447727,,6,516,b,b,a,b
,,,,518,a,b,a,b
0.129569271,-0.223589258,5.777777778,5.777777778,519,a,b,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,520,b,b,a,b
-2.067789794,-2.18558264,4.777777778,4.777777778,521,b,a,a,a
,1.136447727,,6,522,a,a,a,b
1.450542787,0.49966967,5.933333333,5.933333333,524,b,b,a,a
,1.136447727,,6,525,b,a,b,b
,,,,526,b,b,a,a
,1.136447727,,6,527,b,b,b,b
-0.461653396,-0.705065893,5.571428571,5.571428571,528,b,a,b,b
-0.234711077,-0.513370313,5.666666667,5.666666667,529,a,a,a,b
,1.136447727,,6,530,b,b,b,a
-0.447326723,-0.692757833,5.583333333,5.583333333,531,b,a,a,a
,1.136447727,,6,532,a,b,b,b
,1.136447727,,6,533,b,b,b,b
-1.264123879,-1.426076872,5.166666667,5.166666667,534,a,a,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,535,b,b,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,536,a,b,a,b
1.156632152,0.395725296,5.916666667,5.916666667,539,b,b,b,a
,1.136447727,,6,540,a,b,a,a
,1.136447727,,6,541,b,b,b,b
-0.678550556,-0.894314122,5.466666667,5.466666667,542,a,,a,a
-1.308447267,-1.467251352,5.145833333,5.145833333,543,a,a,a,a
-1.371872628,-1.526348577,5.111111111,5.111111111,544,a,a,a,a
-1.991811422,-2.112829256,4.8,4.8,545,,a,a,a
,,,,546,b,b,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,547,b,b,a,a
0.051706088,-0.283331051,5.75,5.75,548,b,b,b,a
,,,,549,a,a,a,b
,1.136447727,,6,550,a,a,a,b
-0.234711077,-0.513370313,5.666666667,5.666666667,552,b,b,a,b
0.433091285,-0.004820458,5.833333333,5.833333333,553,a,a,a,b
1.905608404,0.597760126,5.944444444,5.944444444,554,b,b,,a
,1.136447727,,6,555,a,b,a,b
-0.501556704,-0.739480322,5.555555556,5.555555556,557,b,b,a,a
0.129569271,-0.223589258,5.777777778,5.777777778,558,b,b,a,b
1.905608404,0.597760126,5.944444444,5.944444444,559,b,a,a,a
,1.136447727,,6,560,a,a,b,b
,,,,561,a,b,b,b
-0.408386844,-0.659436695,5.6,5.6,562,a,a,b,b
,1.136447727,,6,563,b,b,a,b
-0.618747862,-0.841621234,5.5,5.5,564,a,a,a,a
,1.136447727,,6,565,a,a,b,b
-0.447326723,-0.692757833,5.583333333,5.583333333,567,a,a,b,b
0.254681544,-0.130521499,5.8,5.8,569,b,a,b,b
,1.136447727,,6,571,b,b,a,b
0.051706088,-0.283331051,5.75,5.75,572,a,b,b,b
0.433091285,-0.004820458,5.833333333,5.833333333,573,a,b,b,b
0.884755232,0.268308923,5.888888889,5.888888889,574,b,b,a,b
-0.557304228,-0.787876017,5.533333333,5.533333333,575,b,a,a,a
-0.958860818,-1.145690884,5.333333333,5.333333333,576,a,b,a,a
